,Aaron Fleisher,Abdoulaye Kane,Andreas Herz,Andrew Maurer,Basak Bilecen,Brenda Wiens,Catherine Hamilton,Chris McCarty,David Kennedy,David Nelson,David Canarte,Fondazione Roberto Franceschi,Giacomo Solano,Giuseppe Tradigo,Gulcan Onel,Jared Adams,Jeff Johnson,Jim Jawitz,JL Molina,JM Stacciarini,Lance Gravlee,Liang Mao,Linda Bosma,Luca Daconto,Luca De Benedictis,Mariapia Mendola,Mariano Kanamori,Mark Tranmer,Mattia Prosperi,Miranda Lubbers,Natalie DelRocco,Robert Cook,Russ Bernard,Ryan Thomson,Sophia Acord,Stephen Perz,Therese Okraku,Till Krenz,Tom Smith,Tommaso Vitale,UF BEBR,UF Center for the Humanities and the Publich Sphere,UF CTSI,UF Informatics Institute,Valerio Leone Sciabolazza
Aaron Fleisher,NA,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,1,,1,1,1,,1
Abdoulaye Kane,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Herz,,,NA,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
Andrew Maurer,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Basak Bilecen,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Brenda Wiens,,,,,,NA,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Catherine Hamilton,,,,,,,NA,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Chris McCarty,,,,,,,,NA,,1,,,1,,1,1,1,1,1,1,1,,,,,,,,,1,,1,1,,,,1,1,1,,1,,1,,1
David Kennedy,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Nelson,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,
David Canarte,,,,,,,,,,,NA,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,
Fondazione Roberto Franceschi,,,,,,,,,,,,NA,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
Giacomo Solano,,,,,,,,,,,,,NA,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
Giuseppe Tradigo,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Gulcan Onel,,,,,,,,,,,,,,,NA,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
