name,Organization,Institute,Group,,,,,,
Aaron Fleisher,0,0,UF Anthropology,,,,,,
Abdoulaye Kane,0,0,UF Center for African Studies,,,,,,
Andreas Herz,0,0,University of Hildesheim,,,,,,
Andrew Maurer,0,0,UF Neuroscience,,,,,,
Basak Bilecen,0,0,"University of Groeningen, The Netherlands",,,,,,
Brenda Wiens,0,0,UF Health,,,,,,
Catherine Hamilton,0,0,UF Health,,,,,,
Chris McCarty,0,0,UF Anthropology,,,,,,
David Kennedy,0,0,Rand Corporation,,,,,,
David Nelson,0,0,UF Health,,,,,,
David Canarte,0,0,UF Sociology & Criminology,,,,,,
Fondazione Roberto Franceschi,1,1,Other,,,,,,
Giacomo Solano,0,0,"Universite Libre de Bruxelles, Belgium",,,,,,
Giuseppe Tradigo,0,0,"University of Calabria, Italy",,,,,,
Gulcan Onel,0,0,UF IFAS,,,,,,
Jared Adams,0,0,UF Sociology & Criminology,,,,,,
Jeff Johnson,0,0,UF Anthropology,,,,,,
Jim Jawitz,0,0,Other,,,,,,
JL Molina,0,0,"Autonomous University of Barcelona, Spain",,,,,,
JM Stacciarini,0,0,UF Health,,,,,,
Lance Gravlee,0,0,UF Anthropology,,,,,,
Liang Mao,0,0,UF Geography,,,,,,
Linda Bosma,0,0,Other,,,,,,
Luca Daconto,0,0,"University of Milan, Italy",,,,,,
Luca De Benedictis,0,0,"University of Macerata, Italy",,,,,,
Mariapia Mendola,0,0,"University of Milan, Italy",,,,,,
Mariano Kanamori,0,0,University of Miami,,,,,,
Mark Tranmer,0,0,"University of Glasgow, UK",,,,,,
Mattia Prosperi,0,0,UF Health,,,,,,
Miranda Lubbers,0,0,Autonomous University of Barcelona,,,,,,
Natalie DelRocco,0,0,UF Biostatistics,,,,,,
Robert Cook,0,0,UF Health,,,,,,
Russ Bernard,0,0,UF Anthropology,,,,,,
Ryan Thomson,0,0,UF Sociology & Criminology,,,,,,
Sophia Acord,0,0,UF Center for the Humanities and the Publich Sphere,,,,,,
Stephen Perz,0,0,UF Sociology & Criminology,,,,,,
Therese Okraku,0,0,UF Anthropology,,,,,,
Till Krenz,0,0,UF BEBR,,,,,, 
Tom Smith,0,0,UF Sociology & Criminology,,,,,,
Tommaso Vitale,0,0,Sciences Po Paris,,,,,,
UF BEBR,1,1,UF CLAS,,,,,,
UF Center for the Humanities and the Publich Sphere,1,1,UF Center for the Humanities and the Publich Sphere,,,,,,
UF CTSI,1,1,UF Health,,,,,,
UF Informatics Institute,1,1,UF Informatics Institute,,,,,,
Valerio Leone Sciabolazza,0,0,"University of Naples, Italy",,,,,,
